player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Lonzo Ball,NOP,22.0,198.12,86.18248,63,11.8,6.1,7.0,-0.7,0.032,0.142,0.181,0.517,0.292,2019-20
Karl-Anthony Towns,MIN,25.0,210.82,112.490816,50,24.8,10.6,4.5,-0.1,0.075,0.237,0.286,0.612,0.216,2020-21
Cristiano Felicio,CHI,28.0,210.82,122.46984,18,1.3,1.4,0.5,7.1,0.1119999999999999,0.205,0.1169999999999999,0.574,0.155,2020-21
Thaddeus Young,CHI,33.0,203.2,106.59412,68,12.1,6.2,4.3,4.1,0.105,0.154,0.216,0.578,0.253,2020-21
Maxi Kleber,DAL,30.0,208.28,108.86208,59,7.0,5.9,1.2,3.9,0.047,0.182,0.131,0.537,0.067,2021-22
Cody Martin,CHA,27.0,198.12,92.98636,7,5.0,3.4,1.6,-9.7,0.0559999999999999,0.109,0.121,0.4479999999999999,0.111,2022-23
Tony Bradley,CHI,24.0,208.28,112.490816,55,3.0,3.4,0.5,5.2,0.123,0.196,0.128,0.6,0.065,2021-22
Eric Paschall,GSW,23.0,198.12,115.66596,60,14.0,4.6,2.1,-10.6,0.047,0.1159999999999999,0.207,0.5710000000000001,0.126,2019-20
E'Twaun Moore,PHX,32.0,190.5,86.636072,27,4.9,1.7,1.5,0.5,0.035,0.08,0.1639999999999999,0.523,0.14,2020-21
Bobby Portis,MIL,27.0,208.28,113.398,72,14.6,9.1,1.2,6.3,0.085,0.218,0.207,0.5710000000000001,0.061,2021-22
Otto Porter Jr.,ORL,28.0,203.2,89.811216,28,9.7,5.4,2.0,-3.0,0.044,0.198,0.184,0.552,0.133,2020-21
Doug McDermott,IND,29.0,200.66,102.0582,66,13.6,3.3,1.3,-1.8,0.036,0.096,0.1939999999999999,0.635,0.075,2020-21
Vit Krejci,OKC,22.0,203.2,88.45044,30,6.2,3.4,1.9,-12.8,0.024,0.121,0.125,0.529,0.1169999999999999,2021-22
Jake Layman,MIN,27.0,203.2,94.800728,45,5.1,1.5,0.6,-5.8,0.019,0.083,0.147,0.5770000000000001,0.067,2020-21
Max Strus,MIA,26.0,195.58,97.52228,68,10.6,3.0,1.4,5.6,0.016,0.1119999999999999,0.177,0.614,0.086,2021-22
Justin Robinson,WAS,22.0,185.42,88.45044,9,1.4,0.6,0.8,29.9,0.022,0.098,0.133,0.542,0.1939999999999999,2019-20
Eric Bledsoe,NOP,31.0,185.42,97.068688,71,12.2,3.4,3.8,-1.8,0.013,0.1,0.181,0.5329999999999999,0.17,2020-21
Tyus Jones,MEM,26.0,182.88,88.904032,73,8.7,2.4,4.4,7.6,0.01,0.0969999999999999,0.1639999999999999,0.544,0.285,2021-22
D.J. Wilson,TOR,26.0,208.28,104.779752,4,7.5,4.0,1.3,-16.5,0.017,0.238,0.159,0.773,0.147,2021-22
Joe Wieskamp,SAS,22.0,198.12,92.98636,29,2.1,0.5,0.3,1.5,0.017,0.045,0.129,0.494,0.065,2021-22
Facundo Campazzo,DAL,32.0,177.8,88.45044,8,1.3,0.3,1.1,11.0,0.0,0.0409999999999999,0.144,0.36,0.3,2022-23
Nicolas Claxton,BKN,21.0,210.82,97.52228,15,4.4,2.9,1.1,-15.6,0.09,0.1119999999999999,0.144,0.5770000000000001,0.142,2019-20
Lonnie Walker IV,LAL,24.0,193.04,92.532768,56,11.7,1.9,1.1,-7.3,0.011,0.069,0.198,0.57,0.071,2022-23
Bradley Beal,WAS,28.0,190.5,93.893544,60,31.3,4.7,4.4,-0.4,0.033,0.094,0.331,0.593,0.2019999999999999,2020-21
Zach Collins,SAS,24.0,210.82,113.398,28,7.8,5.5,2.2,3.1,0.085,0.1969999999999999,0.184,0.594,0.17,2021-22
Ty Jerome,OKC,23.0,195.58,88.45044,33,10.7,2.8,3.6,-8.5,0.012,0.1,0.181,0.585,0.2289999999999999,2020-21
Derrick Jones Jr.,CHI,26.0,198.12,95.25432,64,5.0,2.4,0.5,6.7,0.069,0.098,0.138,0.597,0.052,2022-23
Boban Marjanovic,PHI,30.0,220.98,131.54168,58,7.3,4.6,0.9,0.1,0.124,0.2319999999999999,0.222,0.664,0.128,2018-19
Dorian Finney-Smith,DAL,28.0,200.66,99.79024,60,9.8,5.4,1.7,5.1,0.052,0.1159999999999999,0.12,0.609,0.07,2020-21
Isaiah Stewart,DET,22.0,203.2,113.398,50,11.3,8.1,1.4,-8.0,0.078,0.2019999999999999,0.17,0.56,0.073,2022-23
Jordan Poole,GSW,24.0,193.04,87.996848,82,20.4,2.7,4.5,-0.8,0.013,0.073,0.282,0.573,0.2339999999999999,2022-23
Damian Jones,SAC,26.0,210.82,111.13004,39,4.7,3.1,0.7,-5.1,0.064,0.156,0.12,0.7120000000000001,0.075,2020-21
Davis Bertans,WAS,28.0,208.28,102.0582,57,11.5,2.9,0.9,2.1,0.011,0.095,0.148,0.62,0.043,2020-21
Kent Bazemore,GSW,31.0,193.04,88.45044,67,7.2,3.4,1.6,5.9,0.019,0.14,0.159,0.564,0.108,2020-21
Carsen Edwards,DET,24.0,180.34,90.7184,4,5.8,1.5,3.5,-5.9,0.022,0.044,0.179,0.3779999999999999,0.25,2021-22
Kevin Huerter,ATL,22.0,200.66,86.18248,69,11.9,3.3,3.5,1.7,0.017,0.09,0.1669999999999999,0.541,0.161,2020-21
Taurean Prince,MIN,28.0,198.12,98.883056,69,7.3,2.5,1.0,0.7,0.021,0.12,0.166,0.589,0.08,2021-22
Caris LeVert,CLE,28.0,198.12,92.98636,74,12.1,3.8,3.9,4.5,0.024,0.105,0.183,0.546,0.182,2022-23
Jon Leuer,DET,30.0,208.28,103.418976,41,3.8,2.4,0.3,-13.3,0.062,0.182,0.157,0.616,0.06,2018-19
Karl-Anthony Towns,MIN,24.0,210.82,112.490816,35,26.5,10.8,4.4,-1.5,0.075,0.24,0.278,0.642,0.21,2019-20
Deonte Burton,OKC,26.0,193.04,108.86208,39,2.7,1.5,0.4,-12.7,0.017,0.119,0.173,0.396,0.076,2019-20
Keita Bates-Diop,MIN,23.0,205.74,103.872568,30,5.0,2.8,0.6,-5.1,0.0289999999999999,0.129,0.14,0.489,0.047,2018-19
Mikal Bridges,PHX,25.0,198.12,94.800728,82,14.2,4.2,2.3,9.8,0.027,0.089,0.149,0.627,0.084,2021-22
LeBron James,LAL,34.0,203.2,113.398,55,27.4,8.5,8.3,2.0,0.0289999999999999,0.193,0.311,0.588,0.376,2018-19
Nemanja Bjelica,MIA,33.0,208.28,106.140528,37,6.5,3.4,1.9,-6.7,0.049,0.172,0.179,0.5539999999999999,0.16,2020-21
Armoni Brooks,TOR,24.0,190.5,88.45044,54,5.3,1.9,1.1,-3.8,0.021,0.0969999999999999,0.159,0.483,0.105,2021-22
